"Step","earnest-music-79 - Batch Training Loss","earnest-music-79 - Batch Training Loss__MIN","earnest-music-79 - Batch Training Loss__MAX"
"1","2.846448007944313","2.846448007944313","2.846448007944313"
"2","2.3566761966689564","2.3566761966689564","2.3566761966689564"
"3","1.980998572191824","1.980998572191824","1.980998572191824"
"4","1.6741699633138172","1.6741699633138172","1.6741699633138172"
"5","1.449596284282916","1.449596284282916","1.449596284282916"
"6","1.2494140387742683","1.2494140387742683","1.2494140387742683"
"7","1.094856641470012","1.094856641470012","1.094856641470012"
"8","0.9777747969270153","0.9777747969270153","0.9777747969270153"
"9","0.8777715642899667","0.8777715642899667","0.8777715642899667"
"10","0.803420452405374","0.803420452405374","0.803420452405374"
"11","0.7493982565424703","0.7493982565424703","0.7493982565424703"
"12","0.70438159041711","0.70438159041711","0.70438159041711"
"13","0.6687428740619444","0.6687428740619444","0.6687428740619444"
"14","0.6480420938148082","0.6480420938148082","0.6480420938148082"
"15","0.6086661167991805","0.6086661167991805","0.6086661167991805"
"16","0.5862833915224991","0.5862833915224991","0.5862833915224991"
"17","0.5698433923756543","0.5698433923756543","0.5698433923756543"
"18","0.5792470586852333","0.5792470586852333","0.5792470586852333"
"19","0.5537191425079732","0.5537191425079732","0.5537191425079732"
"20","0.5559665748480694","0.5559665748480694","0.5559665748480694"
"21","0.5339812140693919","0.5339812140693919","0.5339812140693919"
"22","0.5274945294340868","0.5274945294340868","0.5274945294340868"
"23","0.5215123478300251","0.5215123478300251","0.5215123478300251"
"24","0.5200273290372299","0.5200273290372299","0.5200273290372299"
"25","0.5294829973502223","0.5294829973502223","0.5294829973502223"
"26","0.5178027480700544","0.5178027480700544","0.5178027480700544"
"27","0.5137523658039599","0.5137523658039599","0.5137523658039599"
"28","0.51901292843367","0.51901292843367","0.51901292843367"
"29","0.5067411596775062","0.5067411596775062","0.5067411596775062"
"30","0.505892386773205","0.505892386773205","0.505892386773205"
"31","0.5018384757352876","0.5018384757352876","0.5018384757352876"
"32","0.49746526194590635","0.49746526194590635","0.49746526194590635"
"33","0.5053916335880362","0.5053916335880362","0.5053916335880362"
"34","0.5147747039978806","0.5147747039978806","0.5147747039978806"
"35","0.505121303204879","0.505121303204879","0.505121303204879"
"36","0.5077746675362905","0.5077746675362905","0.5077746675362905"
"37","0.5026285777947332","0.5026285777947332","0.5026285777947332"
"38","0.4972940209902565","0.4972940209902565","0.4972940209902565"
"39","0.4984981214946207","0.4984981214946207","0.4984981214946207"
"40","0.4957515255631694","0.4957515255631694","0.4957515255631694"
"41","0.5009419332056506","0.5009419332056506","0.5009419332056506"
"42","0.49563006189672687","0.49563006189672687","0.49563006189672687"
"43","0.49666622816849343","0.49666622816849343","0.49666622816849343"
"44","0.49733813712678226","0.49733813712678226","0.49733813712678226"
"45","0.49967093001491886","0.49967093001491886","0.49967093001491886"
"46","0.5027263641452236","0.5027263641452236","0.5027263641452236"
"47","0.49970011028224404","0.49970011028224404","0.49970011028224404"
"48","0.49717597733304325","0.49717597733304325","0.49717597733304325"
"49","0.5016696079871884","0.5016696079871884","0.5016696079871884"
"50","0.48873675795472266","0.48873675795472266","0.48873675795472266"
"51","0.48417291857879224","0.48417291857879224","0.48417291857879224"
"52","0.4916865443118625","0.4916865443118625","0.4916865443118625"
"53","0.4870783344740525","0.4870783344740525","0.4870783344740525"
"54","0.48920254530564183","0.48920254530564183","0.48920254530564183"
"55","0.49405690862903123","0.49405690862903123","0.49405690862903123"
"56","0.48390918482896","0.48390918482896","0.48390918482896"
"57","0.47820184575703145","0.47820184575703145","0.47820184575703145"
"58","0.48704046629660774","0.48704046629660774","0.48704046629660774"
"59","0.4856783251684959","0.4856783251684959","0.4856783251684959"
"60","0.48348126759866705","0.48348126759866705","0.48348126759866705"
"61","0.48448662975983936","0.48448662975983936","0.48448662975983936"
"62","0.4849520321312906","0.4849520321312906","0.4849520321312906"
"63","0.4851351798846675","0.4851351798846675","0.4851351798846675"
"64","0.47476770701421883","0.47476770701421883","0.47476770701421883"
"65","0.48421813580171014","0.48421813580171014","0.48421813580171014"
"66","0.486794434922031","0.486794434922031","0.486794434922031"
"67","0.48529412443255987","0.48529412443255987","0.48529412443255987"
"68","0.48717633500039015","0.48717633500039015","0.48717633500039015"
"69","0.4873813023691376","0.4873813023691376","0.4873813023691376"
"70","0.4871305970828952","0.4871305970828952","0.4871305970828952"
"71","0.4741556769375553","0.4741556769375553","0.4741556769375553"
"72","0.4795017118350835","0.4795017118350835","0.4795017118350835"
"73","0.47543222929741374","0.47543222929741374","0.47543222929741374"
"74","0.4750696805448629","0.4750696805448629","0.4750696805448629"
"75","0.4901936080606159","0.4901936080606159","0.4901936080606159"
"76","0.4732789338240119","0.4732789338240119","0.4732789338240119"
"77","0.4808512363891922","0.4808512363891922","0.4808512363891922"
"78","0.475095635181303","0.475095635181303","0.475095635181303"
"79","0.4782468192449623","0.4782468192449623","0.4782468192449623"
"80","0.47708187747951375","0.47708187747951375","0.47708187747951375"
"81","0.4762178637968173","0.4762178637968173","0.4762178637968173"
"82","0.4824737618448364","0.4824737618448364","0.4824737618448364"
"83","0.4705642442109439","0.4705642442109439","0.4705642442109439"
"84","0.4749995372225722","0.4749995372225722","0.4749995372225722"
"85","0.48310813510861794","0.48310813510861794","0.48310813510861794"
"86","0.47228315503588797","0.47228315503588797","0.47228315503588797"
"87","0.47137834009066876","0.47137834009066876","0.47137834009066876"
"88","0.4754149228018402","0.4754149228018402","0.4754149228018402"
"89","0.47337808088319044","0.47337808088319044","0.47337808088319044"
"90","0.47382868273143997","0.47382868273143997","0.47382868273143997"
"91","0.4731003263672926","0.4731003263672926","0.4731003263672926"
"92","0.47351491374831584","0.47351491374831584","0.47351491374831584"
"93","0.46111426025165886","0.46111426025165886","0.46111426025165886"
"94","0.4744958644980828","0.4744958644980828","0.4744958644980828"
"95","0.46362268469519385","0.46362268469519385","0.46362268469519385"
"96","0.4700771447571079","0.4700771447571079","0.4700771447571079"
"97","0.46736570704695385","0.46736570704695385","0.46736570704695385"
"98","0.4615958140370319","0.4615958140370319","0.4615958140370319"
"99","0.47035850544312585","0.47035850544312585","0.47035850544312585"
"100","0.47016315251887764","0.47016315251887764","0.47016315251887764"
"101","0.46498347809356133","0.46498347809356133","0.46498347809356133"
"102","0.4751133800231131","0.4751133800231131","0.4751133800231131"
"103","0.469601538568407","0.469601538568407","0.469601538568407"
"104","0.4691476320862238","0.4691476320862238","0.4691476320862238"
"105","0.45504209763335307","0.45504209763335307","0.45504209763335307"
"106","0.47074283548185697","0.47074283548185697","0.47074283548185697"
"107","0.47052931169533546","0.47052931169533546","0.47052931169533546"
"108","0.46333321271207534","0.46333321271207534","0.46333321271207534"
"109","0.4640365870127276","0.4640365870127276","0.4640365870127276"
"110","0.46556070552912526","0.46556070552912526","0.46556070552912526"
"111","0.4571600985578717","0.4571600985578717","0.4571600985578717"
"112","0.4615102194912755","0.4615102194912755","0.4615102194912755"
"113","0.4678608837403467","0.4678608837403467","0.4678608837403467"
"114","0.47162356535834443","0.47162356535834443","0.47162356535834443"
"115","0.4695304903547046","0.4695304903547046","0.4695304903547046"
"116","0.4652999203155201","0.4652999203155201","0.4652999203155201"
"117","0.4568562484180904","0.4568562484180904","0.4568562484180904"
"118","0.45190581005922104","0.45190581005922104","0.45190581005922104"
"119","0.47024096956121175","0.47024096956121175","0.47024096956121175"
"120","0.45243815795762216","0.45243815795762216","0.45243815795762216"
"121","0.46806857552703424","0.46806857552703424","0.46806857552703424"
"122","0.44791990128164944","0.44791990128164944","0.44791990128164944"
"123","0.45304395682867904","0.45304395682867904","0.45304395682867904"
"124","0.4575556108872796","0.4575556108872796","0.4575556108872796"
"125","0.46068191955508614","0.46068191955508614","0.46068191955508614"
"126","0.45647609141855555","0.45647609141855555","0.45647609141855555"
"127","0.461519089560303","0.461519089560303","0.461519089560303"
"128","0.4540485094615601","0.4540485094615601","0.4540485094615601"
"129","0.4577487744615633","0.4577487744615633","0.4577487744615633"
"130","0.4524018446903791","0.4524018446903791","0.4524018446903791"
"131","0.45307302820726764","0.45307302820726764","0.45307302820726764"
"132","0.45583299620537737","0.45583299620537737","0.45583299620537737"
"133","0.4514389359650888","0.4514389359650888","0.4514389359650888"
"134","0.46023988578731195","0.46023988578731195","0.46023988578731195"
"135","0.4509143391398272","0.4509143391398272","0.4509143391398272"
"136","0.45858866670770787","0.45858866670770787","0.45858866670770787"
"137","0.4494979553746677","0.4494979553746677","0.4494979553746677"
"138","0.4543115777814939","0.4543115777814939","0.4543115777814939"
"139","0.459607575333899","0.459607575333899","0.459607575333899"
"140","0.4480099493797535","0.4480099493797535","0.4480099493797535"
"141","0.458528416996889","0.458528416996889","0.458528416996889"
"142","0.4455188319827486","0.4455188319827486","0.4455188319827486"
"143","0.44896750081563086","0.44896750081563086","0.44896750081563086"
"144","0.4516821144758701","0.4516821144758701","0.4516821144758701"
"145","0.45112306429939775","0.45112306429939775","0.45112306429939775"
"146","0.4464678039519389","0.4464678039519389","0.4464678039519389"
"147","0.4563751296116942","0.4563751296116942","0.4563751296116942"
"148","0.4498346024792859","0.4498346024792859","0.4498346024792859"
"149","0.45860498704555924","0.45860498704555924","0.45860498704555924"
"150","0.4549780304300714","0.4549780304300714","0.4549780304300714"
"151","0.44452261727783976","0.44452261727783976","0.44452261727783976"
"152","0.44259186834932424","0.44259186834932424","0.44259186834932424"
"153","0.44310818611235153","0.44310818611235153","0.44310818611235153"
"154","0.4501179237944944","0.4501179237944944","0.4501179237944944"
"155","0.448327433095572","0.448327433095572","0.448327433095572"
"156","0.4402380734189118","0.4402380734189118","0.4402380734189118"
"157","0.4476784259263929","0.4476784259263929","0.4476784259263929"
"158","0.4482397156515197","0.4482397156515197","0.4482397156515197"
"159","0.4492373507363252","0.4492373507363252","0.4492373507363252"
"160","0.44358211561107236","0.44358211561107236","0.44358211561107236"
"161","0.44158610033036055","0.44158610033036055","0.44158610033036055"
"162","0.4332339254816164","0.4332339254816164","0.4332339254816164"
"163","0.45224383870076207","0.45224383870076207","0.45224383870076207"
"164","0.45143744118962875","0.45143744118962875","0.45143744118962875"
"165","0.4495271111454761","0.4495271111454761","0.4495271111454761"
"166","0.43593915368238334","0.43593915368238334","0.43593915368238334"
"167","0.44988836267257853","0.44988836267257853","0.44988836267257853"
"168","0.44373743391303894","0.44373743391303894","0.44373743391303894"
"169","0.43448771618482745","0.43448771618482745","0.43448771618482745"
"170","0.4499189126322376","0.4499189126322376","0.4499189126322376"
"171","0.442228588885991","0.442228588885991","0.442228588885991"
"172","0.44171230051749694","0.44171230051749694","0.44171230051749694"
"173","0.43599734301372267","0.43599734301372267","0.43599734301372267"
"174","0.4488910864728843","0.4488910864728843","0.4488910864728843"
"175","0.4414796055595936","0.4414796055595936","0.4414796055595936"
"176","0.44326493143782003","0.44326493143782003","0.44326493143782003"
"177","0.4488037725724956","0.4488037725724956","0.4488037725724956"
"178","0.44340328393732215","0.44340328393732215","0.44340328393732215"
"179","0.45324470849009657","0.45324470849009657","0.45324470849009657"
"180","0.44184276945471396","0.44184276945471396","0.44184276945471396"
"181","0.43641368150603105","0.43641368150603105","0.43641368150603105"
"182","0.4383883732292316","0.4383883732292316","0.4383883732292316"
"183","0.4384954335867893","0.4384954335867893","0.4384954335867893"
"184","0.4359843943361666","0.4359843943361666","0.4359843943361666"
"185","0.4426394874570289","0.4426394874570289","0.4426394874570289"
"186","0.438187972934663","0.438187972934663","0.438187972934663"
"187","0.4412521441389066","0.4412521441389066","0.4412521441389066"
"188","0.4389473905785524","0.4389473905785524","0.4389473905785524"
"189","0.4404989744193067","0.4404989744193067","0.4404989744193067"
"190","0.44167858464491316","0.44167858464491316","0.44167858464491316"
"191","0.44603921132045227","0.44603921132045227","0.44603921132045227"
"192","0.4373434388022561","0.4373434388022561","0.4373434388022561"
"193","0.4340817297025046","0.4340817297025046","0.4340817297025046"
"194","0.4327210172267839","0.4327210172267839","0.4327210172267839"
"195","0.4382270826980224","0.4382270826980224","0.4382270826980224"
"196","0.43931714387823706","0.43931714387823706","0.43931714387823706"
"197","0.437620866751373","0.437620866751373","0.437620866751373"
"198","0.4354576355562763","0.4354576355562763","0.4354576355562763"
"199","0.43140646479017325","0.43140646479017325","0.43140646479017325"
"200","0.4443342856494233","0.4443342856494233","0.4443342856494233"